location,weekday,hour,event_count
Filter Site,0,0,13
Filter Site,0,1,7
Filter Site,0,2,7
Filter Site,0,3,6
Filter Site,0,4,6
Filter Site,0,5,7
Filter Site,0,6,10
Filter Site,0,7,15
Filter Site,0,8,10
Filter Site,0,9,7
Filter Site,0,10,12
Filter Site,0,11,8
Filter Site,0,12,13
Filter Site,0,13,12
Filter Site,0,14,8
Filter Site,0,15,14
Filter Site,0,16,10
Filter Site,0,17,17
Filter Site,0,18,12
Filter Site,0,19,13
Filter Site,0,20,12
Filter Site,0,21,12
Filter Site,0,22,16
Filter Site,0,23,3
Filter Site,1,0,12
Filter Site,1,1,6
Filter Site,1,2,6
Filter Site,1,3,6
Filter Site,1,4,6
Filter Site,1,5,6
Filter Site,1,6,12
Filter Site,1,7,8
Filter Site,1,8,8
Filter Site,1,9,6
Filter Site,1,10,7
Filter Site,1,11,7
Filter Site,1,12,11
Filter Site,1,13,10
Filter Site,1,14,7
Filter Site,1,15,9
Filter Site,1,16,6
Filter Site,1,17,11
Filter Site,1,18,7
Filter Site,1,19,10
Filter Site,1,20,7
Filter Site,1,21,7
Filter Site,1,22,8
Filter Site,1,23,1
Filter Site,2,0,12
Filter Site,2,1,9
Filter Site,2,2,7
Filter Site,2,3,6
Filter Site,2,4,7
Filter Site,2,5,7
Filter Site,2,6,13
Filter Site,2,7,9
Filter Site,2,8,8
Filter Site,2,9,9
Filter Site,2,10,12
Filter Site,2,11,9
Filter Site,2,12,10
Filter Site,2,13,14
Filter Site,2,14,12
Filter Site,2,15,12
Filter Site,2,16,13
Filter Site,2,17,13
Filter Site,2,18,14
Filter Site,2,19,14
Filter Site,2,20,12
Filter Site,2,21,10
Filter Site,2,22,11
Filter Site,2,23,4
Filter Site,3,0,16
Filter Site,3,1,10
Filter Site,3,2,9
Filter Site,3,3,11
Filter Site,3,4,10
Filter Site,3,5,11
Filter Site,3,6,16
Filter Site,3,7,13
Filter Site,3,8,10
Filter Site,3,9,12
Filter Site,3,10,11
Filter Site,3,11,13
Filter Site,3,12,14
Filter Site,3,13,12
Filter Site,3,14,14
Filter Site,3,15,12
Filter Site,3,16,16
Filter Site,3,17,16
Filter Site,3,18,13
Filter Site,3,19,10
Filter Site,3,20,13
Filter Site,3,21,14
Filter Site,3,22,10
Filter Site,3,23,1
Filter Site,4,0,12
Filter Site,4,1,7
Filter Site,4,2,7
Filter Site,4,3,6
